ZN,INDUS,CHAS,NOX,CRIM,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
18,2.31,0,0.538,0.00632,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24
0,7.07,0,0.469,0.02731,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,22
0,7.07,0,0.469,0.02729,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,35
0,2.18,0,0.458,0.03237,6.998,45.8,6.0622,3,222,18.7,394.63,2.94,33
0,2.18,0,0.458,0.06905,7.147,54.2,6.0622,3,222,18.7,396.9,5.33,36
0,2.18,0,0.458,0.02985,6.43,58.7,6.0622,3,222,18.7,394.12,5.21,29
12.5,7.87,0,0.524,0.08829,6.012,66.6,5.5605,5,311,15.2,395.6,12.43,23
12.5,7.87,0,0.524,0.14455,6.172,96.1,5.9505,5,311,15.2,396.9,19.15,27
12.5,7.87,0,0.524,0.21124,5.631,100,6.0821,5,311,15.2,386.63,29.93,17
12.5,7.87,0,0.524,0.17004,6.004,85.9,6.5921,5,311,15.2,386.71,17.1,19
12.5,7.87,0,0.524,0.22489,6.377,94.3,6.3467,5,311,15.2,392.52,20.45,15
12.5,7.87,0,0.524,0.11747,6.009,82.9,6.2267,5,311,15.2,396.9,13.27,19
12.5,7.87,0,0.524,0.09378,5.889,39,5.4509,5,311,15.2,390.5,15.71,22
0,8.14,0,0.538,0.62976,5.949,61.8,4.7075,4,307,21,396.9,8.26,20
0,8.14,0,0.538,0.63796,6.096,84.5,4.4619,4,307,21,380.02,10.26,18
0,8.14,0,0.538,0.62739,5.834,56.5,4.4986,4,307,21,395.62,8.47,20
0,8.14,0,0.538,1.05393,5.935,29.3,4.4986,4,307,21,386.85,6.58,23
0,8.14,0,0.538,0.7842,5.99,81.7,4.2579,4,307,21,386.75,14.67,18
0,8.14,0,0.538,0.80271,5.456,36.6,3.7965,4,307,21,288.99,11.69,20
0,8.14,0,0.538,0.7258,5.727,69.5,3.7965,4,307,21,390.95,11.28,18
0,8.14,0,0.538,1.25179,5.57,98.1,3.7979,4,307,21,376.57,21.02,14
0,8.14,0,0.538,0.85204,5.965,89.2,4.0123,4,307,21,392.53,13.83,20
0,8.14,0,0.538,1.23247,6.142,91.7,3.9769,4,307,21,396.9,18.72,15
0,8.14,0,0.538,0.98843,5.813,100,4.0952,4,307,21,394.54,19.88,15
0,8.14,0,0.538,0.75026,5.924,94.1,4.3996,4,307,21,394.33,16.3,16
0,8.14,0,0.538,0.84054,5.599,85.7,4.4546,4,307,21,303.42,16.51,14
0,8.14,0,0.538,0.67191,5.813,90.3,4.682,4,307,21,376.88,14.81,17
0,8.14,0,0.538,0.95577,6.047,88.8,4.4534,4,307,21,306.38,17.28,15
0,8.14,0,0.538,0.77299,6.495,94.4,4.4547,4,307,21,387.94,12.8,18
0,8.14,0,0.538,1.00245,6.674,87.3,4.239,4,307,21,380.23,11.98,21
0,8.14,0,0.538,1.13081,5.713,94.1,4.233,4,307,21,360.17,22.6,13
0,8.14,0,0.538,1.35472,6.072,100,4.175,4,307,21,376.73,13.04,15
0,8.14,0,0.538,1.38799,5.95,82,3.99,4,307,21,232.6,27.71,13
0,8.14,0,0.538,1.15172,5.701,95,3.7872,4,307,21,358.77,18.35,13
0,8.14,0,0.538,1.61282,6.096,96.9,3.7598,4,307,21,248.31,20.34,14
0,5.96,0,0.499,0.06417,5.933,68.2,3.3603,5,279,19.2,396.9,9.68,19
0,5.96,0,0.499,0.09744,5.841,61.4,3.3779,5,279,19.2,377.56,11.41,20
0,5.96,0,0.499,0.08014,5.85,41.5,3.9342,5,279,19.2,396.9,8.77,21
0,5.96,0,0.499,0.17505,5.966,30.2,3.8473,5,279,19.2,393.43,10.13,25
75,2.95,0,0.428,0.02763,6.595,21.8,5.4011,3,252,18.3,395.63,4.32,31
75,2.95,0,0.428,0.03359,7.024,15.8,5.4011,3,252,18.3,395.62,1.98,35
0,6.91,0,0.448,0.12744,6.77,2.9,5.7209,3,233,17.9,385.41,4.84,27
0,6.91,0,0.448,0.1415,6.169,6.6,5.7209,3,233,17.9,383.37,5.81,25
0,6.91,0,0.448,0.15936,6.211,6.5,5.7209,3,233,17.9,394.46,7.44,25
0,6.91,0,0.448,0.12269,6.069,40,5.7209,3,233,17.9,389.39,9.55,21
0,6.91,0,0.448,0.17142,5.682,33.8,5.1004,3,233,17.9,396.9,10.21,19
0,6.91,0,0.448,0.18836,5.786,33.3,5.1004,3,233,17.9,396.9,14.15,20
0,6.91,0,0.448,0.22927,6.03,85.5,5.6894,3,233,17.9,392.74,18.8,17
0,6.91,0,0.448,0.25387,5.399,95.3,5.87,3,233,17.9,396.9,30.81,14
0,6.91,0,0.448,0.21977,5.602,62,6.0877,3,233,17.9,396.9,16.2,19
21,5.64,0,0.439,0.08873,5.963,45.7,6.8147,4,243,16.8,395.56,13.45,20
21,5.64,0,0.439,0.04337,6.115,63,6.8147,4,243,16.8,393.97,9.43,21
21,5.64,0,0.439,0.0536,6.511,21.1,6.8147,4,243,16.8,396.9,5.28,25
21,5.64,0,0.439,0.04981,5.998,21.4,6.8147,4,243,16.8,396.9,8.43,23
75,4,0,0.41,0.0136,5.888,47.6,7.3197,3,469,21.1,396.9,14.8,19
90,1.22,0,0.403,0.01311,7.249,21.9,8.6966,5,226,17.9,395.93,4.81,35
85,0.74,0,0.41,0.02055,6.383,35.7,9.1876,2,313,17.3,396.9,5.77,25
100,1.32,0,0.411,0.01432,6.816,40.5,8.3248,5,256,15.1,392.9,3.95,32
25,5.13,0,0.453,0.15445,6.145,29.2,7.8148,8,284,19.7,390.68,6.86,23
25,5.13,0,0.453,0.10328,5.927,47.2,6.932,8,284,19.7,396.9,9.22,20
25,5.13,0,0.453,0.14932,5.741,66.2,7.2254,8,284,19.7,395.11,13.15,19
25,5.13,0,0.453,0.17171,5.966,93.4,6.8185,8,284,19.7,378.08,14.44,16
25,5.13,0,0.453,0.11027,6.456,67.8,7.2255,8,284,19.7,396.9,6.73,22
25,5.13,0,0.453,0.1265,6.762,43.4,7.9809,8,284,19.7,395.58,9.5,25
17.5,1.38,0,0.4161,0.01951,7.104,59.5,9.2229,3,216,18.6,393.24,8.05,33
80,3.37,0,0.398,0.03584,6.29,17.8,6.6115,4,337,16.1,396.9,4.67,24
80,3.37,0,0.398,0.04379,5.787,31.1,6.6115,4,337,16.1,396.9,10.24,19
12.5,6.07,0,0.409,0.05789,5.878,21.4,6.498,4,345,18.9,396.21,8.1,22
12.5,6.07,0,0.409,0.13554,5.594,36.8,6.498,4,345,18.9,396.9,13.09,17
12.5,6.07,0,0.409,0.12816,5.885,33,6.498,4,345,18.9,396.9,8.79,21
0,10.81,0,0.413,0.08826,6.417,6.6,5.2873,4,305,19.2,383.73,6.72,24
0,10.81,0,0.413,0.15876,5.961,17.5,5.2873,4,305,19.2,376.94,9.88,22
0,10.81,0,0.413,0.09164,6.065,7.8,5.2873,4,305,19.2,390.91,5.52,23
0,10.81,0,0.413,0.19539,6.245,6.2,5.2873,4,305,19.2,377.17,7.54,23
0,12.83,0,0.437,0.07896,6.273,6,4.2515,5,398,18.7,394.92,6.78,24
0,12.83,0,0.437,0.09512,6.286,45,4.5026,5,398,18.7,383.23,8.94,21
0,12.83,0,0.437,0.10153,6.279,74.5,4.0522,5,398,18.7,373.66,11.97,20
0,12.83,0,0.437,0.08707,6.14,45.8,4.0905,5,398,18.7,386.96,10.27,21
0,12.83,0,0.437,0.05646,6.232,53.7,5.0141,5,398,18.7,386.4,12.34,21
0,12.83,0,0.437,0.08387,5.874,36.6,4.5026,5,398,18.7,396.06,9.1,20
25,4.86,0,0.426,0.04113,6.727,33.5,5.4007,4,281,19,396.9,5.29,28
25,4.86,0,0.426,0.04462,6.619,70.4,5.4007,4,281,19,395.63,7.22,24
25,4.86,0,0.426,0.03659,6.302,32.2,5.4007,4,281,19,396.9,6.72,25
25,4.86,0,0.426,0.03551,6.167,46.7,5.4007,4,281,19,390.64,7.51,23
0,4.49,0,0.449,0.05059,6.389,48,4.7794,3,247,18.5,396.9,9.62,24
0,4.49,0,0.449,0.05735,6.63,56.1,4.4377,3,247,18.5,392.3,6.53,27
0,4.49,0,0.449,0.05188,6.015,45.1,4.4272,3,247,18.5,395.99,12.86,23
0,4.49,0,0.449,0.07151,6.121,56.8,3.7476,3,247,18.5,395.15,8.44,22
0,3.41,0,0.489,0.0566,7.007,86.3,3.4217,2,270,17.8,396.9,5.5,24
0,3.41,0,0.489,0.05302,7.079,63.1,3.4145,2,270,17.8,396.06,5.7,29
0,3.41,0,0.489,0.04684,6.417,66.1,3.0923,2,270,17.8,392.18,8.81,23
0,3.41,0,0.489,0.03932,6.405,73.9,3.0921,2,270,17.8,393.55,8.2,22
28,15.04,0,0.464,0.04203,6.442,53.6,3.6659,4,270,18.2,395.01,8.16,23
28,15.04,0,0.464,0.02875,6.211,28.9,3.6659,4,270,18.2,396.33,6.21,25
28,15.04,0,0.464,0.04294,6.249,77.3,3.615,4,270,18.2,396.9,10.59,21
0,2.89,0,0.445,0.12204,6.625,57.8,3.4952,2,276,18,357.98,6.65,28
0,2.89,0,0.445,0.11504,6.163,69.6,3.4952,2,276,18,391.83,11.34,21
0,2.89,0,0.445,0.12083,8.069,76,3.4952,2,276,18,396.9,4.21,39
0,2.89,0,0.445,0.08187,7.82,36.9,3.4952,2,276,18,393.53,3.57,44
0,2.89,0,0.445,0.0686,7.416,62.5,3.4952,2,276,18,396.9,6.19,33
0,8.56,0,0.52,0.14866,6.727,79.9,2.7778,5,384,20.9,394.76,9.42,28
0,8.56,0,0.52,0.11432,6.781,71.3,2.8561,5,384,20.9,395.58,7.67,27
0,8.56,0,0.52,0.22876,6.405,85.4,2.7147,5,384,20.9,70.8,10.63,19
0,8.56,0,0.52,0.21161,6.137,87.4,2.7147,5,384,20.9,394.47,13.44,19
0,8.56,0,0.52,0.1396,6.167,90,2.421,5,384,20.9,392.69,12.33,20
0,8.56,0,0.52,0.13262,5.851,96.7,2.1069,5,384,20.9,394.05,16.47,20
0,8.56,0,0.52,0.1712,5.836,91.9,2.211,5,384,20.9,395.67,18.66,20
0,8.56,0,0.52,0.13117,6.127,85.2,2.1224,5,384,20.9,387.69,14.09,20
0,8.56,0,0.52,0.12802,6.474,97.1,2.4329,5,384,20.9,395.24,12.27,20
0,8.56,0,0.52,0.26363,6.229,91.2,2.5451,5,384,20.9,391.23,15.55,19
0,8.56,0,0.52,0.10793,6.195,54.4,2.7778,5,384,20.9,393.49,13,22
0,10.01,0,0.547,0.10084,6.715,81.6,2.6775,6,432,17.8,395.59,10.16,23
0,10.01,0,0.547,0.12329,5.913,92.9,2.3534,6,432,17.8,394.95,16.21,19
0,10.01,0,0.547,0.22212,6.092,95.4,2.548,6,432,17.8,396.9,17.09,19
0,10.01,0,0.547,0.14231,6.254,84.2,2.2565,6,432,17.8,388.74,10.45,19
0,10.01,0,0.547,0.17134,5.928,88.2,2.4631,6,432,17.8,344.91,15.76,18
0,10.01,0,0.547,0.13158,6.176,72.5,2.7301,6,432,17.8,393.3,12.04,21
0,10.01,0,0.547,0.15098,6.021,82.6,2.7474,6,432,17.8,394.51,10.3,19
0,10.01,0,0.547,0.13058,5.872,73.1,2.4775,6,432,17.8,338.63,15.37,20
0,10.01,0,0.547,0.14476,5.731,65.2,2.7592,6,432,17.8,391.5,13.61,19
0,25.65,0,0.581,0.06899,5.87,69.7,2.2577,2,188,19.1,389.15,14.37,22
0,25.65,0,0.581,0.07165,6.004,84.1,2.1974,2,188,19.1,377.67,14.27,20
0,25.65,0,0.581,0.09299,5.961,92.9,2.0869,2,188,19.1,378.09,17.93,21
0,25.65,0,0.581,0.15038,5.856,97,1.9444,2,188,19.1,370.31,25.41,17
0,25.65,0,0.581,0.09849,5.879,95.8,2.0063,2,188,19.1,379.38,17.58,19
0,25.65,0,0.581,0.16902,5.986,88.4,1.9929,2,188,19.1,385.02,14.81,21
0,25.65,0,0.581,0.38735,5.613,95.6,1.7572,2,188,19.1,359.29,27.26,16
0,21.89,0,0.624,0.25915,5.693,96,1.7883,4,437,21.2,392.11,17.19,16
0,21.89,0,0.624,0.32543,6.431,98.8,1.8125,4,437,21.2,396.9,15.39,18
0,21.89,0,0.624,0.88125,5.637,94.7,1.9799,4,437,21.2,396.9,18.34,14
0,21.89,0,0.624,0.34006,6.458,98.9,2.1185,4,437,21.2,395.04,12.6,19
0,21.89,0,0.624,1.19294,6.326,97.7,2.271,4,437,21.2,396.9,12.26,20
0,21.89,0,0.624,0.59005,6.372,97.9,2.3274,4,437,21.2,385.76,11.12,23
0,21.89,0,0.624,0.32982,5.822,95.4,2.4699,4,437,21.2,388.69,15.03,18
0,21.89,0,0.624,0.97617,5.757,98.4,2.346,4,437,21.2,262.76,17.31,16
0,21.89,0,0.624,0.55778,6.335,98.2,2.1107,4,437,21.2,394.67,16.96,18
0,21.89,0,0.624,0.32264,5.942,93.5,1.9669,4,437,21.2,378.25,16.9,17
0,21.89,0,0.624,0.35233,6.454,98.4,1.8498,4,437,21.2,394.08,14.59,17
0,21.89,0,0.624,0.2498,5.857,98.2,1.6686,4,437,21.2,392.04,21.32,13
0,21.89,0,0.624,0.54452,6.151,97.9,1.6687,4,437,21.2,396.9,18.46,18
0,21.89,0,0.624,0.2909,6.174,93.6,1.6119,4,437,21.2,388.08,24.16,14
0,21.89,0,0.624,1.62864,5.019,100,1.4394,4,437,21.2,396.9,34.41,14
0,19.58,1,0.871,3.32105,5.403,100,1.3216,5,403,14.7,396.9,26.82,13
0,19.58,0,0.871,4.0974,5.468,100,1.4118,5,403,14.7,396.9,26.42,16
0,19.58,0,0.871,2.77974,4.903,97.8,1.3459,5,403,14.7,396.9,29.29,12
0,19.58,0,0.871,2.37934,6.13,100,1.4191,5,403,14.7,172.91,27.8,14
0,19.58,0,0.871,2.15505,5.628,100,1.5166,5,403,14.7,169.27,16.65,16
0,19.58,0,0.871,2.36862,4.926,95.7,1.4608,5,403,14.7,391.71,29.53,15
0,19.58,0,0.871,2.33099,5.186,93.8,1.5296,5,403,14.7,356.99,28.32,18
0,19.58,0,0.871,2.73397,5.597,94.9,1.5257,5,403,14.7,351.85,21.45,15
0,19.58,0,0.871,1.6566,6.122,97.3,1.618,5,403,14.7,372.8,14.1,22
0,19.58,0,0.871,1.49632,5.404,100,1.5916,5,403,14.7,341.6,13.28,20
0,19.58,1,0.871,1.12658,5.012,88,1.6102,5,403,14.7,343.28,12.12,15
0,19.58,0,0.871,2.14918,5.709,98.5,1.6232,5,403,14.7,261.95,15.79,19
0,19.58,1,0.871,1.41385,6.129,96,1.7494,5,403,14.7,321.02,15.12,17
0,19.58,1,0.871,3.53501,6.152,82.6,1.7455,5,403,14.7,88.01,15.02,16
0,19.58,0,0.871,2.44668,5.272,94,1.7364,5,403,14.7,88.63,16.14,13
0,19.58,0,0.605,1.22358,6.943,97.4,1.8773,5,403,14.7,363.43,4.59,41
0,19.58,0,0.605,1.34284,6.066,100,1.7573,5,403,14.7,353.89,6.43,24
0,19.58,0,0.871,1.42502,6.51,100,1.7659,5,403,14.7,364.31,7.39,23
0,19.58,1,0.605,1.27346,6.25,92.6,1.7984,5,403,14.7,338.92,5.5,27
0,19.58,0,0.605,1.46336,7.489,90.8,1.9709,5,403,14.7,374.43,1.73,50
0,19.58,1,0.605,1.83377,7.802,98.2,2.0407,5,403,14.7,389.61,1.92,50
0,19.58,1,0.605,1.51902,8.375,93.9,2.162,5,403,14.7,388.45,3.32,50
0,19.58,0,0.605,2.24236,5.854,91.8,2.422,5,403,14.7,395.11,11.64,23
0,19.58,0,0.605,2.924,6.101,93,2.2834,5,403,14.7,240.16,9.81,25
0,19.58,0,0.605,2.01019,7.929,96.2,2.0459,5,403,14.7,369.3,3.7,50
0,19.58,0,0.605,1.80028,5.877,79.2,2.4259,5,403,14.7,227.61,12.14,24
0,19.58,0,0.605,2.3004,6.319,96.1,2.1,5,403,14.7,297.09,11.1,24
0,19.58,0,0.605,2.44953,6.402,95.2,2.2625,5,403,14.7,330.04,11.32,22
0,19.58,0,0.605,1.20742,5.875,94.6,2.4259,5,403,14.7,292.29,14.43,17
0,19.58,0,0.605,2.3139,5.88,97.3,2.3887,5,403,14.7,348.13,12.03,19
0,4.05,0,0.51,0.13914,5.572,88.5,2.5961,5,296,16.6,396.9,14.69,23
0,4.05,0,0.51,0.09178,6.416,84.1,2.6463,5,296,16.6,395.5,9.04,24
0,4.05,0,0.51,0.08447,5.859,68.7,2.7019,5,296,16.6,393.23,9.64,23
0,4.05,0,0.51,0.06664,6.546,33.1,3.1323,5,296,16.6,390.96,5.33,29
0,4.05,0,0.51,0.07022,6.02,47.2,3.5549,5,296,16.6,393.23,10.11,23
0,4.05,0,0.51,0.05425,6.315,73.4,3.3175,5,296,16.6,395.6,6.29,25
0,4.05,0,0.51,0.06642,6.86,74.4,2.9153,5,296,16.6,391.27,6.92,30
0,2.46,0,0.488,0.0578,6.98,58.4,2.829,3,193,17.8,396.9,5.04,37
0,2.46,0,0.488,0.06588,7.765,83.3,2.741,3,193,17.8,395.56,7.56,40
0,2.46,0,0.488,0.06888,6.144,62.2,2.5979,3,193,17.8,396.9,9.45,36
0,2.46,0,0.488,0.09103,7.155,92.2,2.7006,3,193,17.8,394.12,4.82,38
0,2.46,0,0.488,0.10008,6.563,95.6,2.847,3,193,17.8,396.9,5.68,33
0,2.46,0,0.488,0.08308,5.604,89.8,2.9879,3,193,17.8,391,13.98,26
0,2.46,0,0.488,0.06047,6.153,68.8,3.2797,3,193,17.8,387.11,13.15,30
0,2.46,0,0.488,0.05602,7.831,53.6,3.1992,3,193,17.8,392.63,4.45,50
45,3.44,0,0.437,0.07875,6.782,41.1,3.7886,5,398,15.2,393.87,6.68,32
45,3.44,0,0.437,0.12579,6.556,29.1,4.5667,5,398,15.2,382.84,4.56,30
45,3.44,0,0.437,0.0837,7.185,38.9,4.5667,5,398,15.2,396.9,5.39,35
45,3.44,0,0.437,0.09068,6.951,21.5,6.4798,5,398,15.2,377.68,5.1,37
45,3.44,0,0.437,0.06911,6.739,30.8,6.4798,5,398,15.2,389.71,4.69,31
45,3.44,0,0.437,0.08664,7.178,26.3,6.4798,5,398,15.2,390.49,2.87,36
60,2.93,0,0.401,0.02187,6.8,9.9,6.2196,1,265,15.6,393.37,5.03,31
60,2.93,0,0.401,0.01439,6.604,18.8,6.2196,1,265,15.6,376.7,4.38,29
80,0.46,0,0.422,0.01381,7.875,32,5.6484,4,255,14.4,394.23,2.97,50
80,1.52,0,0.404,0.04011,7.287,34.1,7.309,2,329,12.6,396.9,4.08,33
80,1.52,0,0.404,0.04666,7.107,36.6,7.309,2,329,12.6,354.31,8.61,30
80,1.52,0,0.404,0.03768,7.274,38.3,7.309,2,329,12.6,392.2,6.62,35
95,1.47,0,0.403,0.0315,6.975,15.3,7.6534,3,402,17,396.9,4.56,35
95,1.47,0,0.403,0.01778,7.135,13.9,7.6534,3,402,17,384.3,4.45,33
82.5,2.03,0,0.415,0.03445,6.162,38.4,6.27,2,348,14.7,393.77,7.43,24
82.5,2.03,0,0.415,0.02177,7.61,15.7,6.27,2,348,14.7,395.38,3.11,42
95,2.68,0,0.4161,0.0351,7.853,33.2,5.118,4,224,14.7,392.78,3.81,49
95,2.68,0,0.4161,0.02009,8.034,31.9,5.118,4,224,14.7,390.55,2.88,50
0,10.59,0,0.489,0.13642,5.891,22.3,3.9454,4,277,18.6,396.9,10.87,23
0,10.59,0,0.489,0.22969,6.326,52.5,4.3549,4,277,18.6,394.87,10.97,24
0,10.59,0,0.489,0.25199,5.783,72.7,4.3549,4,277,18.6,389.43,18.06,23
0,10.59,1,0.489,0.13587,6.064,59.1,4.2392,4,277,18.6,381.32,14.66,24
0,10.59,1,0.489,0.43571,5.344,100,3.875,4,277,18.6,396.9,23.09,20
0,10.59,1,0.489,0.17446,5.96,92.1,3.8771,4,277,18.6,393.25,17.27,22
0,10.59,1,0.489,0.37578,5.404,88.6,3.665,4,277,18.6,395.24,23.98,19
0,10.59,1,0.489,0.21719,5.807,53.8,3.6526,4,277,18.6,390.94,16.03,22
0,10.59,0,0.489,0.14052,6.375,32.3,3.9454,4,277,18.6,385.81,9.38,28
0,10.59,0,0.489,0.28955,5.412,9.8,3.5875,4,277,18.6,348.93,29.55,24
0,10.59,0,0.489,0.19802,6.182,42.4,3.9454,4,277,18.6,393.63,9.47,25
0,13.89,1,0.55,0.0456,5.888,56,3.1121,5,276,16.4,392.8,13.51,23
0,13.89,0,0.55,0.07013,6.642,85.1,3.4211,5,276,16.4,392.78,9.69,29
0,13.89,1,0.55,0.11069,5.951,93.8,2.8893,5,276,16.4,396.9,17.92,22
0,13.89,1,0.55,0.11425,6.373,92.4,3.3633,5,276,16.4,393.74,10.5,23
0,6.2,1,0.507,0.35809,6.951,88.5,2.8617,8,307,17.4,391.7,9.71,27
0,6.2,1,0.507,0.40771,6.164,91.3,3.048,8,307,17.4,395.24,21.46,22
0,6.2,1,0.507,0.62356,6.879,77.7,3.2721,8,307,17.4,390.39,9.93,28
0,6.2,0,0.507,0.6147,6.618,80.8,3.2721,8,307,17.4,396.9,7.6,30
0,6.2,0,0.504,0.31533,8.266,78.3,2.8944,8,307,17.4,385.05,4.14,45
0,6.2,0,0.504,0.52693,8.725,83,2.8944,8,307,17.4,382,4.63,50
0,6.2,0,0.504,0.38214,8.04,86.5,3.2157,8,307,17.4,387.38,3.13,38
0,6.2,0,0.504,0.41238,7.163,79.9,3.2157,8,307,17.4,372.08,6.36,32
0,6.2,0,0.504,0.29819,7.686,17,3.3751,8,307,17.4,377.51,3.92,47
0,6.2,0,0.504,0.44178,6.552,21.4,3.3751,8,307,17.4,380.34,3.76,32
0,6.2,0,0.504,0.537,5.981,68.1,3.6715,8,307,17.4,378.35,11.65,24
0,6.2,0,0.504,0.46296,7.412,76.9,3.6715,8,307,17.4,376.14,5.25,32
0,6.2,0,0.507,0.57529,8.337,73.3,3.8384,8,307,17.4,385.91,2.47,42
0,6.2,0,0.507,0.33147,8.247,70.4,3.6519,8,307,17.4,378.95,3.95,48
0,6.2,1,0.507,0.44791,6.726,66.5,3.6519,8,307,17.4,360.2,8.05,29
0,6.2,0,0.507,0.33045,6.086,61.5,3.6519,8,307,17.4,376.75,10.88,24
0,6.2,1,0.507,0.52058,6.631,76.5,4.148,8,307,17.4,388.45,9.54,25
0,6.2,0,0.507,0.51183,7.358,71.6,4.148,8,307,17.4,390.07,4.73,32
30,4.93,0,0.428,0.08244,6.481,18.5,6.1899,6,300,16.6,379.41,6.36,24
30,4.93,0,0.428,0.09252,6.606,42.2,6.1899,6,300,16.6,383.78,7.37,23
30,4.93,0,0.428,0.11329,6.897,54.3,6.3361,6,300,16.6,391.25,11.38,22
30,4.93,0,0.428,0.10612,6.095,65.1,6.3361,6,300,16.6,394.62,12.4,20
30,4.93,0,0.428,0.1029,6.358,52.9,7.0355,6,300,16.6,372.75,11.22,22
30,4.93,0,0.428,0.12757,6.393,7.8,7.0355,6,300,16.6,374.71,5.19,24
22,5.86,0,0.431,0.20608,5.593,76.5,7.9549,7,330,19.1,372.49,12.5,18
22,5.86,0,0.431,0.19133,5.605,70.2,7.9549,7,330,19.1,389.13,18.46,19
22,5.86,0,0.431,0.33983,6.108,34.9,8.0555,7,330,19.1,390.18,9.16,24
22,5.86,0,0.431,0.19657,6.226,79.2,8.0555,7,330,19.1,376.14,10.15,21
22,5.86,0,0.431,0.16439,6.433,49.1,7.8265,7,330,19.1,374.71,9.52,25
22,5.86,0,0.431,0.19073,6.718,17.5,7.8265,7,330,19.1,393.74,6.56,26
22,5.86,0,0.431,0.1403,6.487,13,7.3967,7,330,19.1,396.28,5.9,24
22,5.86,0,0.431,0.21409,6.438,8.9,7.3967,7,330,19.1,377.07,3.59,25
