ZN,INDUS,CHAS,NOX,CRIM,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
22,5.86,0,0.431,0.08221,6.957,6.8,8.9067,7,330,19.1,386.09,3.53,30
22,5.86,0,0.431,0.36894,8.259,8.4,8.9067,7,330,19.1,396.9,3.54,43
80,3.64,0,0.392,0.04819,6.108,32,9.2203,1,315,16.4,392.89,6.57,22
80,3.64,0,0.392,0.03548,5.876,19.1,9.2203,1,315,16.4,395.18,9.25,21
90,3.75,0,0.394,0.01538,7.454,34.2,6.3361,3,244,15.9,386.34,3.11,44
20,3.97,0,0.647,0.61154,8.704,86.9,1.801,5,264,13,389.7,5.12,50
20,3.97,0,0.647,0.66351,7.333,100,1.8946,5,264,13,383.29,7.79,36
20,3.97,0,0.647,0.65665,6.842,100,2.0107,5,264,13,391.93,6.9,30
20,3.97,0,0.647,0.54011,7.203,81.8,2.1121,5,264,13,392.8,9.59,34
20,3.97,0,0.647,0.53412,7.52,89.4,2.1398,5,264,13,388.37,7.26,43
20,3.97,0,0.647,0.52014,8.398,91.5,2.2885,5,264,13,386.86,5.91,49
20,3.97,0,0.647,0.82526,7.327,94.5,2.0788,5,264,13,393.42,11.25,31
20,3.97,0,0.647,0.55007,7.206,91.6,1.9301,5,264,13,387.89,8.1,37
20,3.97,0,0.647,0.76162,5.56,62.8,1.9865,5,264,13,392.4,10.45,23
20,3.97,0,0.647,0.7857,7.014,84.6,2.1329,5,264,13,384.07,14.79,31
20,3.97,0,0.575,0.57834,8.297,67,2.4216,5,264,13,384.54,7.44,50
20,3.97,0,0.575,0.5405,7.47,52.6,2.872,5,264,13,390.3,3.16,44
20,6.96,1,0.464,0.09065,5.92,61.5,3.9175,3,223,18.6,391.34,13.65,21
20,6.96,0,0.464,0.29916,5.856,42.1,4.429,3,223,18.6,388.65,13,21
20,6.96,0,0.464,0.16211,6.24,16.3,4.429,3,223,18.6,396.9,6.59,25
20,6.96,0,0.464,0.1146,6.538,58.7,3.9175,3,223,18.6,394.96,7.73,24
20,6.96,1,0.464,0.22188,7.691,51.8,4.3665,3,223,18.6,390.77,6.58,35
40,6.41,1,0.447,0.05644,6.758,32.9,4.0776,4,254,17.6,396.9,3.53,32
40,6.41,0,0.447,0.09604,6.854,42.8,4.2673,4,254,17.6,396.9,2.98,32
40,6.41,1,0.447,0.10469,7.267,49,4.7872,4,254,17.6,389.25,6.05,33
40,6.41,1,0.447,0.06127,6.826,27.6,4.8628,4,254,17.6,393.45,4.16,33
40,6.41,0,0.447,0.07978,6.482,32.1,4.1403,4,254,17.6,396.9,7.19,29
20,3.33,0,0.4429,0.21038,6.812,32.2,4.1007,5,216,14.9,396.9,4.85,35
20,3.33,0,0.4429,0.03578,7.82,64.5,4.6947,5,216,14.9,387.31,3.76,45
20,3.33,0,0.4429,0.03705,6.968,37.2,5.2447,5,216,14.9,392.23,4.59,35
20,3.33,1,0.4429,0.06129,7.645,49.7,5.2119,5,216,14.9,377.07,3.01,46
90,1.21,1,0.401,0.01501,7.923,24.8,5.885,1,198,13.6,395.52,3.16,50
90,2.97,0,0.4,0.00906,7.088,20.8,7.3073,1,285,15.3,394.72,7.85,32
55,2.25,0,0.389,0.01096,6.453,31.9,7.3073,1,300,15.3,394.72,8.23,22
80,1.76,0,0.385,0.01965,6.23,31.5,9.0892,1,241,18.2,341.6,12.93,20
52.5,5.32,0,0.405,0.03871,6.209,31.3,7.3172,6,293,16.6,396.9,7.14,23
52.5,5.32,0,0.405,0.0459,6.315,45.6,7.3172,6,293,16.6,396.9,7.6,22
52.5,5.32,0,0.405,0.04297,6.565,22.9,7.3172,6,293,16.6,371.72,9.51,25
80,4.95,0,0.411,0.03502,6.861,27.9,5.1167,4,245,19.2,396.9,3.33,29
80,4.95,0,0.411,0.07886,7.148,27.7,5.1167,4,245,19.2,396.9,3.56,37
80,4.95,0,0.411,0.03615,6.63,23.4,5.1167,4,245,19.2,396.9,4.7,28
0,13.92,0,0.437,0.08265,6.127,18.4,5.5027,4,289,16,396.9,8.58,24
0,13.92,0,0.437,0.08199,6.009,42.3,5.5027,4,289,16,396.9,10.4,22
0,13.92,0,0.437,0.12932,6.678,31.1,5.9604,4,289,16,396.9,6.27,29
0,13.92,0,0.437,0.05372,6.549,51,5.9604,4,289,16,392.85,7.39,27
0,13.92,0,0.437,0.14103,5.79,58,6.32,4,289,16,396.9,15.84,20
70,2.24,0,0.4,0.06466,6.345,20.1,7.8278,5,358,14.8,368.24,4.97,23
70,2.24,0,0.4,0.05561,7.041,10,7.8278,5,358,14.8,371.58,4.74,29
70,2.24,0,0.4,0.04417,6.871,47.4,7.8278,5,358,14.8,390.86,6.07,25
34,6.09,0,0.433,0.03537,6.59,40.4,5.4917,7,329,16.1,395.75,9.5,22
34,6.09,0,0.433,0.09266,6.495,18.4,5.4917,7,329,16.1,383.61,8.67,26
34,6.09,0,0.433,0.1,6.982,17.7,5.4917,7,329,16.1,390.43,4.86,33
33,2.18,0,0.472,0.05515,7.236,41.1,4.022,7,222,18.4,393.68,6.93,36
33,2.18,0,0.472,0.05479,6.616,58.1,3.37,7,222,18.4,393.36,8.93,28
33,2.18,0,0.472,0.07503,7.42,71.9,3.0992,7,222,18.4,396.9,6.47,33
33,2.18,0,0.472,0.04932,6.849,70.3,3.1827,7,222,18.4,396.9,7.53,28
0,9.9,0,0.544,0.49298,6.635,82.5,3.3175,4,304,18.4,396.9,4.54,23
0,9.9,0,0.544,0.3494,5.972,76.7,3.1025,4,304,18.4,396.24,9.97,20
0,9.9,0,0.544,2.63548,4.973,37.8,2.5194,4,304,18.4,350.45,12.64,16
0,9.9,0,0.544,0.79041,6.122,52.8,2.6403,4,304,18.4,396.9,5.98,22
0,9.9,0,0.544,0.26169,6.023,90.4,2.834,4,304,18.4,396.3,11.72,19
0,9.9,0,0.544,0.26938,6.266,82.8,3.2628,4,304,18.4,393.39,7.9,22
0,9.9,0,0.544,0.3692,6.567,87.3,3.6023,4,304,18.4,395.69,9.28,24
0,9.9,0,0.544,0.25356,5.705,77.7,3.945,4,304,18.4,396.42,11.5,16
0,9.9,0,0.544,0.31827,5.914,83.2,3.9986,4,304,18.4,390.7,18.33,18
0,9.9,0,0.544,0.24522,5.782,71.7,4.0317,4,304,18.4,396.9,15.94,20
0,9.9,0,0.544,0.40202,6.382,67.2,3.5325,4,304,18.4,395.21,10.36,23
0,9.9,0,0.544,0.47547,6.113,58.8,4.0019,4,304,18.4,396.23,12.73,21
0,7.38,0,0.493,0.1676,6.426,52.3,4.5404,5,287,19.6,396.9,7.2,24
0,7.38,0,0.493,0.18159,6.376,54.3,4.5404,5,287,19.6,396.9,6.87,23
0,7.38,0,0.493,0.35114,6.041,49.9,4.7211,5,287,19.6,396.9,7.7,20
0,7.38,0,0.493,0.28392,5.708,74.3,4.7211,5,287,19.6,391.13,11.74,19
0,7.38,0,0.493,0.34109,6.415,40.1,4.7211,5,287,19.6,396.9,6.12,25
0,7.38,0,0.493,0.19186,6.431,14.7,5.4159,5,287,19.6,393.68,5.08,25
0,7.38,0,0.493,0.30347,6.312,28.9,5.4159,5,287,19.6,396.9,6.15,23
0,7.38,0,0.493,0.24103,6.083,43.7,5.4159,5,287,19.6,396.9,12.79,22
0,3.24,0,0.46,0.06617,5.868,25.8,5.2146,4,430,16.9,382.44,9.97,19
0,3.24,0,0.46,0.06724,6.333,17.2,5.2146,4,430,16.9,375.21,7.34,23
0,3.24,0,0.46,0.04544,6.144,32.2,5.8736,4,430,16.9,368.57,9.09,20
35,6.06,0,0.4379,0.05023,5.706,28.4,6.6407,1,304,16.9,394.02,12.43,17
35,6.06,0,0.4379,0.03466,6.031,23.3,6.6407,1,304,16.9,362.25,7.83,19
0,5.19,0,0.515,0.05083,6.316,38.1,6.4584,5,224,20.2,389.71,5.68,22
0,5.19,0,0.515,0.03738,6.31,38.5,6.4584,5,224,20.2,389.4,6.75,21
0,5.19,0,0.515,0.03961,6.037,34.5,5.9853,5,224,20.2,396.9,8.01,21
0,5.19,0,0.515,0.03427,5.869,46.3,5.2311,5,224,20.2,396.9,9.8,20
0,5.19,0,0.515,0.03041,5.895,59.6,5.615,5,224,20.2,394.81,10.56,19
0,5.19,0,0.515,0.03306,6.059,37.3,4.8122,5,224,20.2,396.14,8.51,21
0,5.19,0,0.515,0.05497,5.985,45.4,4.8122,5,224,20.2,396.9,9.74,19
0,5.19,0,0.515,0.06151,5.968,58.5,4.8122,5,224,20.2,396.9,9.29,19
35,1.52,0,0.442,0.01301,7.241,49.3,7.0379,1,284,15.5,394.74,5.49,33
0,1.89,0,0.518,0.02498,6.54,59.7,6.2669,1,422,15.9,389.96,8.65,17
55,3.78,0,0.484,0.02543,6.696,56.4,5.7321,5,370,17.6,396.9,7.18,24
55,3.78,0,0.484,0.03049,6.874,28.1,6.4654,5,370,17.6,387.97,4.61,31
0,4.39,0,0.442,0.03113,6.014,48.5,8.0136,3,352,18.8,385.64,10.53,18
0,4.39,0,0.442,0.06162,5.898,52.3,8.0136,3,352,18.8,364.61,12.67,17
85,4.15,0,0.429,0.0187,6.516,27.7,8.5353,4,351,17.9,392.43,6.36,23
80,2.01,0,0.435,0.01501,6.635,29.7,8.344,4,280,17,390.94,5.99,25
40,1.25,0,0.429,0.02899,6.939,34.5,8.7921,1,335,19.7,389.85,5.89,27
40,1.25,0,0.429,0.06211,6.49,44.4,8.7921,1,335,19.7,396.9,5.98,23
60,1.69,0,0.411,0.0795,6.579,35.9,10.7103,4,411,18.3,370.78,5.49,24
60,1.69,0,0.411,0.07244,5.884,18.5,10.7103,4,411,18.3,392.33,7.79,19
90,2.02,0,0.41,0.01709,6.728,36.1,12.1265,5,187,17,384.46,4.5,30
80,1.91,0,0.413,0.04301,5.663,21.9,10.5857,4,334,22,382.8,8.05,18
80,1.91,0,0.413,0.10659,5.936,19.5,10.5857,4,334,22,376.04,5.57,21
0,18.1,1,0.77,8.98296,6.212,97.4,2.1222,24,666,20.2,377.73,17.6,18
0,18.1,1,0.77,3.8497,6.395,91,2.5052,24,666,20.2,391.34,13.27,22
0,18.1,1,0.77,5.20177,6.127,83.4,2.7227,24,666,20.2,395.43,11.48,23
0,18.1,0,0.77,4.26131,6.112,81.3,2.5091,24,666,20.2,390.74,12.67,23
0,18.1,0,0.77,4.54192,6.398,88,2.5182,24,666,20.2,374.56,7.79,25
0,18.1,0,0.77,3.83684,6.251,91.1,2.2955,24,666,20.2,350.65,14.19,20
0,18.1,0,0.77,3.67822,5.362,96.2,2.1036,24,666,20.2,380.79,10.19,21
0,18.1,1,0.77,4.22239,5.803,89,1.9047,24,666,20.2,353.04,14.64,17
0,18.1,1,0.718,3.47428,8.78,82.9,1.9047,24,666,20.2,354.55,5.29,22
0,18.1,0,0.718,4.55587,3.561,87.9,1.6132,24,666,20.2,354.7,7.12,28
0,18.1,0,0.718,3.69695,4.963,91.4,1.7523,24,666,20.2,316.03,14,22
0,18.1,0,0.631,13.5222,3.863,100,1.5106,24,666,20.2,131.42,13.33,23
0,18.1,0,0.631,4.89822,4.97,100,1.3325,24,666,20.2,375.52,3.26,50
0,18.1,1,0.631,5.66998,6.683,96.8,1.3567,24,666,20.2,375.33,3.73,50
0,18.1,1,0.631,6.53876,7.016,97.5,1.2024,24,666,20.2,392.05,2.96,50
0,18.1,0,0.631,9.2323,6.216,100,1.1691,24,666,20.2,366.15,9.53,50
0,18.1,1,0.668,8.26725,5.875,89.6,1.1296,24,666,20.2,347.88,8.88,50
0,18.1,0,0.668,11.1081,4.906,100,1.1742,24,666,20.2,396.9,34.77,14
0,18.1,0,0.668,18.4982,4.138,100,1.137,24,666,20.2,396.9,37.97,14
0,18.1,0,0.671,19.6091,7.313,97.9,1.3163,24,666,20.2,396.9,13.44,15
0,18.1,0,0.671,15.288,6.649,93.3,1.3449,24,666,20.2,363.02,23.24,14
0,18.1,0,0.671,9.82349,6.794,98.8,1.358,24,666,20.2,396.9,21.24,13
0,18.1,0,0.671,23.6482,6.38,96.2,1.3861,24,666,20.2,396.9,23.69,13
0,18.1,0,0.671,17.8667,6.223,100,1.3861,24,666,20.2,393.74,21.78,10
0,18.1,0,0.671,88.9762,6.968,91.9,1.4165,24,666,20.2,396.9,17.21,10
0,18.1,0,0.671,15.8744,6.545,99.1,1.5192,24,666,20.2,396.9,21.08,11
0,18.1,0,0.7,9.18702,5.536,100,1.5804,24,666,20.2,396.9,23.6,11
0,18.1,0,0.7,7.99248,5.52,100,1.5331,24,666,20.2,396.9,24.56,12
0,18.1,0,0.7,20.0849,4.368,91.2,1.4395,24,666,20.2,285.83,30.63,9
0,18.1,0,0.7,16.8118,5.277,98.1,1.4261,24,666,20.2,396.9,30.81,7
0,18.1,0,0.7,24.3938,4.652,100,1.4672,24,666,20.2,396.9,28.28,11
0,18.1,0,0.7,22.5971,5,89.5,1.5184,24,666,20.2,396.9,31.99,7
0,18.1,0,0.7,14.3337,4.88,100,1.5895,24,666,20.2,372.92,30.62,10
0,18.1,0,0.7,8.15174,5.39,98.9,1.7281,24,666,20.2,396.9,20.85,12
0,18.1,0,0.7,6.96215,5.713,97,1.9265,24,666,20.2,394.43,17.11,15
0,18.1,0,0.7,5.29305,6.051,82.5,2.1678,24,666,20.2,378.38,18.76,23
0,18.1,0,0.7,11.5779,5.036,97,1.77,24,666,20.2,396.9,25.68,10
0,18.1,0,0.693,8.64476,6.193,92.6,1.7912,24,666,20.2,396.9,15.17,14
0,18.1,0,0.693,13.3598,5.887,94.7,1.7821,24,666,20.2,396.9,16.35,13
0,18.1,0,0.693,8.71675,6.471,98.8,1.7257,24,666,20.2,391.98,17.12,13
0,18.1,0,0.693,5.87205,6.405,96,1.6768,24,666,20.2,396.9,19.37,13
0,18.1,0,0.693,7.67202,5.747,98.9,1.6334,24,666,20.2,393.1,19.92,9
0,18.1,0,0.693,38.3518,5.453,100,1.4896,24,666,20.2,396.9,30.59,5
0,18.1,0,0.693,9.91655,5.852,77.8,1.5004,24,666,20.2,338.16,29.97,6
0,18.1,0,0.693,25.0461,5.987,100,1.5888,24,666,20.2,396.9,26.77,6
0,18.1,0,0.693,14.2362,6.343,100,1.5741,24,666,20.2,396.9,20.32,7
0,18.1,0,0.693,9.59571,6.404,100,1.639,24,666,20.2,376.11,20.31,12
0,18.1,0,0.693,24.8017,5.349,96,1.7028,24,666,20.2,396.9,19.77,8
0,18.1,0,0.693,41.5292,5.531,85.4,1.6074,24,666,20.2,329.46,27.38,9
0,18.1,0,0.693,67.9208,5.683,100,1.4254,24,666,20.2,384.97,22.98,5
0,18.1,0,0.659,20.7162,4.138,100,1.1781,24,666,20.2,370.22,23.34,12
0,18.1,0,0.659,11.9511,5.608,100,1.2852,24,666,20.2,332.09,12.13,28
0,18.1,0,0.597,7.40389,5.617,97.9,1.4547,24,666,20.2,314.64,26.4,17
0,18.1,0,0.597,14.4383,6.852,100,1.4655,24,666,20.2,179.36,19.78,28
0,18.1,0,0.597,51.1358,5.757,100,1.413,24,666,20.2,2.6,10.11,15
0,18.1,0,0.597,14.0507,6.657,100,1.5275,24,666,20.2,35.05,21.22,17
0,18.1,0,0.597,18.811,4.628,100,1.5539,24,666,20.2,28.79,34.37,18
0,18.1,0,0.597,28.6558,5.155,100,1.5894,24,666,20.2,210.97,20.08,16
0,18.1,0,0.693,45.7461,4.519,100,1.6582,24,666,20.2,88.27,36.98,7
0,18.1,0,0.679,18.0846,6.434,100,1.8347,24,666,20.2,27.25,29.05,7
0,18.1,0,0.679,10.8342,6.782,90.8,1.8195,24,666,20.2,21.57,25.79,8
0,18.1,0,0.679,25.9406,5.304,89.1,1.6475,24,666,20.2,127.36,26.64,10
0,18.1,0,0.679,73.5341,5.957,100,1.8026,24,666,20.2,16.45,20.62,9
0,18.1,0,0.718,11.8123,6.824,76.5,1.794,24,666,20.2,48.45,22.74,8
0,18.1,0,0.718,11.0874,6.411,100,1.8589,24,666,20.2,318.75,15.02,17
0,18.1,0,0.718,7.02259,6.006,95.3,1.8746,24,666,20.2,319.98,15.7,14
0,18.1,0,0.614,12.0482,5.648,87.6,1.9512,24,666,20.2,291.55,14.1,21
0,18.1,0,0.614,7.05042,6.103,85.1,2.0218,24,666,20.2,2.52,23.29,13
0,18.1,0,0.584,8.79212,5.565,70.6,2.0635,24,666,20.2,3.65,17.16,12
0,18.1,0,0.679,15.8603,5.896,95.4,1.9096,24,666,20.2,7.68,24.39,8
0,18.1,0,0.584,12.2472,5.837,59.7,1.9976,24,666,20.2,24.65,15.69,10
0,18.1,0,0.679,37.6619,6.202,78.7,1.8629,24,666,20.2,18.82,14.52,11
0,18.1,0,0.679,7.36711,6.193,78.1,1.9356,24,666,20.2,96.73,21.52,11
0,18.1,0,0.679,9.33889,6.38,95.6,1.9682,24,666,20.2,60.72,24.08,10
0,18.1,0,0.584,8.49213,6.348,86.1,2.0527,24,666,20.2,83.45,17.64,15
0,18.1,0,0.584,10.0623,6.833,94.3,2.0882,24,666,20.2,81.33,19.69,14
0,18.1,0,0.584,6.44405,6.425,74.8,2.2004,24,666,20.2,97.95,12.03,16
0,18.1,0,0.713,5.58107,6.436,87.9,2.3158,24,666,20.2,100.19,16.22,14
0,18.1,0,0.713,13.9134,6.208,95,2.2222,24,666,20.2,100.63,15.17,12
0,18.1,0,0.74,11.1604,6.629,94.6,2.1247,24,666,20.2,109.85,23.27,13
0,18.1,0,0.74,14.4208,6.461,93.3,2.0026,24,666,20.2,27.49,18.05,10
0,18.1,0,0.74,15.1772,6.152,100,1.9142,24,666,20.2,9.32,26.45,9
0,18.1,0,0.74,13.6781,5.935,87.9,1.8206,24,666,20.2,68.95,34.02,8
0,18.1,0,0.74,9.39063,5.627,93.9,1.8172,24,666,20.2,396.9,22.88,13
0,18.1,0,0.74,22.0511,5.818,92.4,1.8662,24,666,20.2,391.45,22.11,11
0,18.1,0,0.74,9.72418,6.406,97.2,2.0651,24,666,20.2,385.96,19.52,17
0,18.1,0,0.74,5.66637,6.219,100,2.0048,24,666,20.2,395.69,16.59,18
0,18.1,0,0.74,9.96654,6.485,100,1.9784,24,666,20.2,386.73,18.85,15
0,18.1,0,0.74,12.8023,5.854,96.6,1.8956,24,666,20.2,240.52,23.79,11
0,18.1,0,0.74,10.6718,6.459,94.8,1.9879,24,666,20.2,43.06,23.98,12
0,18.1,0,0.74,6.28807,6.341,96.4,2.072,24,666,20.2,318.01,17.79,15
0,18.1,0,0.74,9.92485,6.251,96.6,2.198,24,666,20.2,388.52,16.44,13
0,18.1,0,0.713,9.32909,6.185,98.7,2.2616,24,666,20.2,396.9,18.13,14
0,18.1,0,0.713,7.52601,6.417,98.3,2.185,24,666,20.2,304.21,19.31,13
0,18.1,0,0.713,6.71772,6.749,92.6,2.3236,24,666,20.2,0.32,17.44,13
0,18.1,0,0.713,5.44114,6.655,98.2,2.3552,24,666,20.2,355.29,17.73,15
0,18.1,0,0.713,5.09017,6.297,91.8,2.3682,24,666,20.2,385.09,17.27,16
0,18.1,0,0.713,8.24809,7.393,99.3,2.4527,24,666,20.2,375.87,16.74,18
0,18.1,0,0.713,9.51363,6.728,94.1,2.4961,24,666,20.2,6.68,18.71,15
0,18.1,0,0.713,4.75237,6.525,86.5,2.4358,24,666,20.2,50.92,18.13,14
0,18.1,0,0.713,4.66883,5.976,87.9,2.5806,24,666,20.2,10.48,19.01,13
0,18.1,0,0.713,8.20058,5.936,80.3,2.7792,24,666,20.2,3.5,16.94,14
0,18.1,0,0.713,7.75223,6.301,83.7,2.7831,24,666,20.2,272.21,16.23,15
0,18.1,0,0.713,6.80117,6.081,84.4,2.7175,24,666,20.2,396.9,14.7,20
0,18.1,0,0.713,4.81213,6.701,90,2.5975,24,666,20.2,255.23,16.42,16
0,18.1,0,0.713,3.69311,6.376,88.4,2.5671,24,666,20.2,391.43,14.65,18
0,18.1,0,0.713,6.65492,6.317,83,2.7344,24,666,20.2,396.9,13.99,20
0,18.1,0,0.713,5.82115,6.513,89.9,2.8016,24,666,20.2,393.82,10.29,20
0,18.1,0,0.655,7.83932,6.209,65.4,2.9634,24,666,20.2,396.9,13.22,21
0,18.1,0,0.655,3.1636,5.759,48.2,3.0665,24,666,20.2,334.4,14.13,20
0,18.1,0,0.655,3.77498,5.952,84.7,2.8715,24,666,20.2,22.01,17.15,19
0,18.1,0,0.584,4.42228,6.003,94.5,2.5403,24,666,20.2,331.29,21.32,19
0,18.1,0,0.58,15.5757,5.926,71,2.9084,24,666,20.2,368.74,18.13,19
0,18.1,0,0.58,13.0751,5.713,56.7,2.8237,24,666,20.2,396.9,14.76,20
0,18.1,0,0.58,4.34879,6.167,84,3.0334,24,666,20.2,396.9,16.29,20
0,18.1,0,0.532,4.03841,6.229,90.7,3.0993,24,666,20.2,395.33,12.87,20
0,18.1,0,0.58,3.56868,6.437,75,2.8965,24,666,20.2,393.37,14.36,23
0,18.1,0,0.614,4.64689,6.98,67.6,2.5329,24,666,20.2,374.68,11.66,30
0,18.1,0,0.584,8.05579,5.427,95.4,2.4298,24,666,20.2,352.58,18.14,14
0,18.1,0,0.584,6.39312,6.162,97.4,2.206,24,666,20.2,302.76,24.1,13
0,18.1,0,0.614,4.87141,6.484,93.6,2.3053,24,666,20.2,396.21,18.68,17
0,18.1,0,0.614,15.0234,5.304,97.3,2.1007,24,666,20.2,349.48,24.91,12
0,18.1,0,0.614,10.233,6.185,96.7,2.1705,24,666,20.2,379.7,18.03,15
0,18.1,0,0.614,14.3337,6.229,88,1.9512,24,666,20.2,383.32,13.11,21
0,18.1,0,0.532,5.82401,6.242,64.7,3.4242,24,666,20.2,396.9,10.74,23
0,18.1,0,0.532,5.70818,6.75,74.9,3.3317,24,666,20.2,393.07,7.74,24
0,18.1,0,0.532,5.73116,7.061,77,3.4106,24,666,20.2,395.28,7.01,25
0,18.1,0,0.532,2.81838,5.762,40.3,4.0983,24,666,20.2,392.92,10.42,22
0,18.1,0,0.583,2.37857,5.871,41.9,3.724,24,666,20.2,370.73,13.34,21
0,18.1,0,0.583,3.67367,6.312,51.9,3.9917,24,666,20.2,388.62,10.58,21
0,18.1,0,0.583,5.69175,6.114,79.8,3.5459,24,666,20.2,392.68,14.98,19
0,18.1,0,0.583,4.83567,5.905,53.2,3.1523,24,666,20.2,388.22,11.45,21
0,27.74,0,0.609,0.15086,5.454,92.7,1.8209,4,711,20.1,395.09,18.06,15
0,27.74,0,0.609,0.18337,5.414,98.3,1.7554,4,711,20.1,344.05,23.97,7
0,27.74,0,0.609,0.20746,5.093,98,1.8226,4,711,20.1,318.43,29.68,8
0,27.74,0,0.609,0.10574,5.983,98.8,1.8681,4,711,20.1,390.11,18.07,14
0,27.74,0,0.609,0.11132,5.983,83.5,2.1099,4,711,20.1,396.9,13.35,20
0,9.69,0,0.585,0.17331,5.707,54,2.3817,6,391,19.2,396.9,12.01,22
0,9.69,0,0.585,0.27957,5.926,42.6,2.3817,6,391,19.2,396.9,13.59,25
0,9.69,0,0.585,0.17899,5.67,28.8,2.7986,6,391,19.2,393.29,17.6,23
0,9.69,0,0.585,0.2896,5.39,72.9,2.7986,6,391,19.2,396.9,21.14,20
0,9.69,0,0.585,0.26838,5.794,70.6,2.8927,6,391,19.2,396.9,14.1,18
0,9.69,0,0.585,0.23912,6.019,65.3,2.4091,6,391,19.2,396.9,12.92,21
0,9.69,0,0.585,0.17783,5.569,73.5,2.3999,6,391,19.2,395.77,15.1,18
0,9.69,0,0.585,0.22438,6.027,79.7,2.4982,6,391,19.2,396.9,14.33,17
0,11.93,0,0.573,0.06263,6.593,69.1,2.4786,1,273,21,391.99,9.67,22
0,11.93,0,0.573,0.04527,6.12,76.7,2.2875,1,273,21,396.9,9.08,21
0,11.93,0,0.573,0.06076,6.976,91,2.1675,1,273,21,396.9,5.64,24
0,11.93,0,0.573,0.10959,6.794,89.3,2.3889,1,273,21,393.45,6.48,22
0,11.93,0,0.573,0.04741,6.03,80.8,2.505,1,273,21,396.9,7.88,12
